+---------------------------------------+------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+
| File                                  | Line | Method name                                                                                                                                                                                                                                 | Time(ms) |
+---------------------------------------+------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+
| AcrtiveWorkoutCoordinator.swift       | 17   | override func loadViewController()                                                                                                                                                                                                          | 12927.8  |
| AcrtiveWorkoutCoordinator.swift       | 37   | (closure)                                                                                                                                                                                                                                   | 12901.2  |
| AcrtiveWorkoutCoordinator.swift       | 38   | (closure)                                                                                                                                                                                                                                   | 12900.8  |
| WorkoutCoordinator.swift              | 11   | override func loadViewController()                                                                                                                                                                                                          | 455.8    |
| WorkoutCoordinator.swift              | 31   | (closure)                                                                                                                                                                                                                                   | 429.7    |
| WorkoutCoordinator.swift              | 32   | (closure)                                                                                                                                                                                                                                   | 429.4    |
| RoutinesTVC.swift                     | 10   | @objc func setTableHeaderView()                                                                                                                                                                                                             | 139.9    |
| BaseWorkoutTVC.swift                  | 45   | @objc override func viewDidLoad()                                                                                                                                                                                                           | 114.4    |
| WorkoutCell.swift                     | 7    | @objc dynamic func configure(for object: Workout, at indexPath: IndexPath)                                                                                                                                                                  | 101.1    |
| AppDelegate.swift                     | 19   | @objc func application(_ application: UIApplication, didFinishLaunchingWithOptions launchOptions: [UIApplicationLaunchOptionsKey : Any]?) -> Bool                                                                                           | 99.1     |
| WorkoutDetailVC.swift                 | 7    | @objc override func viewDidLoad()                                                                                                                                                                                                           | 96.7     |
| WorkoutTVC.swift                      | 27   | @objc override func viewDidLoad()                                                                                                                                                                                                           | 93.3     |
| WorkoutCell.swift                     | 13   | (closure)                                                                                                                                                                                                                                   | 90.6     |
| TextFieldBehaviorHandler.swift        | 52   | func setupObserversForSettingBackTextAfterEditing(setRowView: SetRowView)                                                                                                                                                                   | 87.7     |
| WorkoutFooterView.swift               | 25   | static func create(_ activeOrFinished: ActiveOrFinished) -> WorkoutFooterView                                                                                                                                                               | 85.7     |
| SelectWorkoutCell.swift               | 16   | @objc dynamic func configure(for object: Workout, at indexPath: IndexPath)                                                                                                                                                                  | 75.7     |
| MainCoordinator.swift                 | 9    | func checkForUnfinishedWorkout()                                                                                                                                                                                                            | 73.0     |
| KeyboardHandler.swift                 | 17   | @objc func keyboardWillShow(_ notification: Notification)                                                                                                                                                                                   | 68.6     |
| LiftCell.swift                        | 137  | @objc dynamic func configure(for object: Lift, at indexPath: IndexPath)                                                                                                                                                                     | 66.4     |
| WorkoutsDataSource.swift              | 27   | @objc override func tableView(_ tableView: UITableView, commit editingStyle: UITableViewCellEditingStyle, forRowAt indexPath: IndexPath)                                                                                                    | 64.2     |
| LiftCell.swift                        | 143  | (closure)                                                                                                                                                                                                                                   | 63.8     |
| TextFieldBehaviorHandler.swift        | 53   | (closure)                                                                                                                                                                                                                                   | 62.8     |
| BaseWorkoutsTVC.swift                 | 24   | @objc override func viewDidLoad()                                                                                                                                                                                                           | 62.6     |
| TextFieldBehaviorHandler.swift        | 25   | func setupObserversForUpdatingSetValues(setRowView: SetRowView)                                                                                                                                                                             | 59.6     |
| Keyboard&KeyboardDelegate.swift       | 58   | @objc func bindActions()                                                                                                                                                                                                                    | 56.9     |
| WorkoutsTVC.swift                     | 27   | @objc override func viewWillAppear(_ animated: Bool)                                                                                                                                                                                        | 54.7     |
| WeightAndRepsTextField.swift          | 17   | final didSet {}                                                                                                                                                                                                                             | 54.6     |
| WorkoutsTVC.swift                     | 10   | @objc func setTableHeaderView()                                                                                                                                                                                                             | 52.3     |
| KeyboardHandler.swift                 | 37   | @objc func scrollToTextField()                                                                                                                                                                                                              | 49.5     |
| CombinedView.swift                    | 5    | @objc init()                                                                                                                                                                                                                                | 49.1     |
| SettingsTVC.swift                     | 46   | @objc override func viewDidLoad()                                                                                                                                                                                                           | 49.0     |
| StatisticsHistoryTVC.swift            | 109  | @objc func setupRx()                                                                                                                                                                                                                        | 46.6     |
| StatisticsTVC.swift                   | 35   | @objc override func viewWillAppear(_ animated: Bool)                                                                                                                                                                                        | 45.9     |
| WorkoutDataSource.swift               | 39   | @objc override func tableView(_ tableView: UITableView, cellForRowAt indexPath: IndexPath) -> UITableViewCell                                                                                                                               | 44.2     |
| StatisticsTVC.swift                   | 13   | @objc func setTableHeaderView()                                                                                                                                                                                                             | 43.7     |
| CarbonStatisticsVC.swift              | 97   | @objc func setupTableView()                                                                                                                                                                                                                 | 43.1     |
| LiftCell.swift                        | 60   | @objc func setupTopContentView()                                                                                                                                                                                                            | 41.5     |
| AppDelegate.swift                     | 35   | (closure)                                                                                                                                                                                                                                   | 41.2     |
| LiftTypeTVC.swift                     | 47   | @objc func setupRx()                                                                                                                                                                                                                        | 40.7     |
| SettingsTVC.swift                     | 84   | @objc func setupTableView()                                                                                                                                                                                                                 | 39.6     |
| Theme.swift                           | 4    | static func `do`()                                                                                                                                                                                                                          | 38.2     |
| SelectWorkoutVC.swift                 | 49   | @objc func setupTableView()                                                                                                                                                                                                                 | 35.6     |
| WorkoutDetailVC.swift                 | 158  | @objc func setupViews()                                                                                                                                                                                                                     | 34.8     |
| RoutinesTVC.swift                     | 34   | (closure)                                                                                                                                                                                                                                   | 34.4     |
| BaseDataProvider.swift                | 6    | init(objects: Results<BaseType>)                                                                                                                                                                                                            | 34.0     |
